PF03899	0015078 0045263 0015986
PF03898	0019028
PF03896	0005783
PF03894	0005975 0016832
PF03893	0004091 0016042
PF12558	0016820
PF08099	0019855 0009405 0005576
PF09182	0003677 0006355
PF08098	0009405 0042151 0019871
PF09181	0005524 0005737 0004827 0006412 0000166 0006433
PF08097	0005576
PF09180	0005524 0005737 0004827 0006412 0000166 0006433
PF08096	0009405 0005576 0043303
PF04979	0004864 0009966 0043666
PF08095	0009405 0005576
PF08094	0009405 0019871 0005576
PF04977	0007049
PF08093	0009405 0019871 0005576
PF04976	0016021 0019645
PF08092	0019871 0005576
PF08091	0009405 0005576
PF04973	0006810 0016020
PF10371	0055114 0016903
PF03884	0008270
PF02799	0004379
PF03882	0006260 0005737 0005509 0007059
PF02798	0005515
PF02797	0008415
PF02796	0000150 0003677 0006310
PF02794	0008415 0005737 0009404
PF12549	0004511 0055114
PF02793	0004930 0016020
PF02792	0005634
PF02790	0022900 0004129 0009055 0016021 0005507
PF09179	0005524 0005737 0016879 0008033 0006412 0000166
PF09177	0016020 0048193
PF09175	0006869 0005319
PF08089	0005576
PF09172	0006869 0005319
PF08088	0009405 0005576
PF09171	0003906 0016799
PF08086	0009405 0019870 0005576
PF08085	0009636 0016020
PF08083	0005681 0000398
PF04966	0006810 0005215 0016021
PF08082	0005681 0000398
PF04963	0003677 0006352
PF04962	0016861 0008152
PF04961	0003824 0044237
PF04960	0004359 0006541
PF03876	0003899 0006351
PF03874	0003899 0006351
PF02789	0005622 0006508 0004177
PF03872	0016989
PF02788	0015977 0000287 0016984
PF03871	0003677 0005634 0003899 0006351
PF02787	0006807 0004086
PF03870	0006351
PF02786	0005524 0008152 0003824
PF02785	0016874
PF02784	0003824
PF12539	0005515
PF01699	0016021 0055085
PF02783	0050524
PF01698	0003677 0006355
PF02782	0016773 0005975
PF02781	0006006 0050661
PF02780	0008152 0003824
PF09169	0003697 0007090 0005634 0000724 0006310
PF01695	0005524
PF09168	0008239 0006508
PF01694	0016021 0004252
PF09167	0005615
PF09166	0008270 0042167 0055114 0004074
PF01692	0030683
PF09165	0055114 0008121
PF01691	0006916 0005521
PF01690	0019028
PF04958	0008791 0006527
PF08074	0008270 0003677 0005524 0005634 0016818 0006355
PF08073	0008270 0003677 0005524 0005634 0016818 0006355
PF08072	0003677 0005524 0005634 0016818 0006260
PF08070	0003677 0005524 0005634 0003918
PF03869	0016564 0003677
PF04952	0008152 0016788
PF03868	0005622 0003735 0006412 0005840
PF03863	0046718
PF02778	0000213 0006388
PF02777	0006801 0055114 0046872 0004784
PF02776	0030976
PF02775	0030976 0003824
PF02774	0016620 0005737 0008652 0046983
PF02773	0004478
PF01688	0033643
PF02772	0004478
PF01687	0009231 0008531
PF02771	0003995 0055114
PF01686	0005198
PF02770	0003995 0055114
PF09157	0003723 0009451 0009982 0001522
PF00599	0015992 0015078 0055036 0033644
PF00598	0003723 0005198
PF09154	0004553
PF00596	0046872
PF01680	0042823
PF09153	0006281 0005737 0003908
PF08069	0003735 0006412 0005840
PF00595	0005515
PF00594	0005509 0005576
PF00593	0006810 0005215 0016020 0004872
PF09150	0016037 0031404 0030089
PF08066	0006396 0000176
PF00591	0008152 0016757
PF08064	0004674
PF04947	0016563 0046782
PF00590	0008152 0008168
PF08063	0003950 0005634
