EcActivity,

ERR771019_MERGED_FASTQ_InterPro.txt.tsv,ERR771060_MERGED_FASTQ_InterPro.tsv,ERR771064_MERGED_FASTQ_InterPro.tsv,ERR771070_MERGED_FASTQ_InterPro.tsv,
2.7.7.63 *,2.0,0.0,0.0,0.0,
2.7.7.68 *,5.0,0.0,7.0,6.0,
2.7.7.7,1765.0,304.0,3980.0,3015.0,
2.7.7.8,87.0,6.0,129.0,120.0,
2.7.8.13 *,0.0,23.0,251.0,254.0,
2.7.8.26 *,0.0,6.0,7.0,12.0,
2.7.8.5 *,0.0,2.0,1.0,1.0,
2.7.8.7 *,97.0,26.0,140.0,165.0,
2.7.8.8,0.0,0.0,3.0,0.0,
2.7.9.3 *,0.0,6.0,2.0,7.0,
2.8.1.6 *,24.0,7.0,11.0,20.0,
2.8.4.1 *,1.0,0.0,0.0,0.0,
2.9.1.1,6.0,3.0,14.0,60.0,
3.1.1.11,5.0,0.0,5.0,1.0,
3.1.1.14 *,2.0,2.0,0.0,2.0,
3.1.1.2 *,8.0,0.0,0.0,0.0,
3.1.1.22 *,0.0,2.0,0.0,0.0,
3.1.1.3 *,0.0,2.0,5.0,3.0,
3.1.1.31 *,0.0,6.0,14.0,23.0,
3.1.1.4,30.0,0.0,20.0,10.0,
3.1.1.47 *,12.0,0.0,11.0,11.0,
3.1.2.14 *,0.0,0.0,0.0,8.0,
3.1.3.1,0.0,7.0,18.0,71.0,
3.1.3.11,79.0,9.0,247.0,208.0,
3.1.3.2,1.0,0.0,3.0,3.0,
3.1.3.25,11.0,2.0,8.0,20.0,
3.1.3.27 *,0.0,0.0,2.0,2.0,
3.1.3.3,27.0,0.0,26.0,23.0,
3.1.3.4,1.0,0.0,5.0,0.0,
3.1.3.46 *,2.0,0.0,20.0,32.0,
3.1.3.5,87.0,24.0,129.0,194.0,
3.1.3.71 *,16.0,0.0,14.0,22.0,
3.1.3.77 *,0.0,3.0,0.0,1.0,
3.1.3.8 *,28.0,0.0,6.0,22.0,
3.1.4.11 *,0.0,0.0,4.0,2.0,
3.1.4.14 *,39.0,0.0,5.0,1.0,
3.1.4.3,0.0,4.0,0.0,0.0,
3.1.4.53 *,0.0,0.0,0.0,1.0,
3.2.1.1 *,1.0,0.0,4.0,6.0,
3.2.1.106 *,0.0,0.0,5.0,1.0,
3.2.1.132 *,7.0,0.0,6.0,1.0,
3.2.1.14 *,0.0,3.0,20.0,11.0,
3.2.1.18,1.0,0.0,3.0,0.0,
3.2.1.2 *,3.0,0.0,8.0,11.0,
3.2.1.22,44.0,5.0,74.0,71.0,
3.2.1.23,108.0,8.0,118.0,87.0,
3.2.1.26,2.0,2.0,5.0,3.0,
3.2.1.28 *,51.0,12.0,14.0,18.0,
3.2.1.33 *,34.0,0.0,2.0,36.0,
3.2.1.35 *,0.0,0.0,1.0,4.0,
3.2.1.39 *,0.0,3.0,1.0,3.0,
3.2.1.4 *,0.0,9.0,10.0,8.0,
3.2.1.45,22.0,0.0,4.0,9.0,
3.2.1.46 *,0.0,0.0,3.0,5.0,
3.2.1.50 *,8.0,11.0,3.0,4.0,
3.2.1.51 *,208.0,11.0,50.0,58.0,
3.2.1.52,2.0,32.0,40.0,69.0,
3.2.1.55 *,0.0,7.0,7.0,13.0,
3.2.1.78 *,0.0,1.0,4.0,4.0,
3.2.1.96 *,0.0,0.0,1.0,0.0,
3.2.2.4 *,19.0,10.0,21.0,6.0,
3.2.2.6 *,0.0,0.0,1.0,0.0,
3.3.1.1 *,50.0,58.0,531.0,573.0,
3.3.2.6 *,10.0,3.0,3.0,3.0,
3.3.2.9 *,15.0,0.0,5.0,29.0,
3.4.11.1 *,172.0,154.0,515.0,639.0,
3.4.11.23 *,7.0,5.0,0.0,0.0,
3.4.11.5 *,26.0,4.0,15.0,26.0,
3.4.16.4 *,134.0,12.0,149.0,98.0,
3.5.1.10,0.0,22.0,70.0,43.0,
3.5.1.102 *,29.0,14.0,69.0,100.0,
3.5.1.2,38.0,2.0,2.0,5.0,
3.5.1.23 *,0.0,18.0,2.0,8.0,
3.5.1.5,43.0,6.0,119.0,133.0,
3.5.1.9,0.0,0.0,27.0,37.0,
3.5.2.3 *,4.0,3.0,53.0,74.0,
