EcActivity,

Oxic surface,Oxycline,Sulfidic 1,Sulfidic 2,
2.7.9.3 *,0.0,0.0,2.0,15.0,
2.8.1.6 *,0.0,1.0,14.0,20.0,
2.8.1.7 *,2.0,17.0,73.0,115.0,
2.8.1.8 *,2.0,7.0,0.0,3.0,
2.8.3.5,1.0,1.0,3.0,4.0,
3.1.1.1,1.0,2.0,7.0,19.0,
3.1.1.11,0.0,0.0,2.0,2.0,
3.1.1.2 *,0.0,0.0,0.0,1.0,
3.1.1.22 *,0.0,0.0,0.0,1.0,
3.1.1.23 *,0.0,0.0,1.0,4.0,
3.1.1.3 *,1.0,4.0,0.0,2.0,
3.1.1.31 *,2.0,0.0,8.0,0.0,
3.1.1.4,0.0,0.0,5.0,0.0,
3.1.1.45,0.0,2.0,1.0,1.0,
3.1.1.47 *,0.0,1.0,0.0,0.0,
3.1.1.5 *,0.0,0.0,1.0,0.0,
3.1.2.1 *,0.0,0.0,0.0,1.0,
3.1.2.12 *,0.0,1.0,0.0,0.0,
3.1.2.2 *,0.0,0.0,1.0,0.0,
3.1.2.22 *,1.0,1.0,0.0,0.0,
3.1.2.4,1.0,1.0,0.0,0.0,
3.1.2.6 *,3.0,4.0,19.0,13.0,
3.1.3.1,0.0,0.0,0.0,1.0,
3.1.3.11,0.0,7.0,9.0,6.0,
3.1.3.15 *,0.0,0.0,1.0,5.0,
3.1.3.18 *,0.0,2.0,26.0,45.0,
3.1.3.2,0.0,3.0,1.0,4.0,
3.1.3.25,5.0,2.0,5.0,4.0,
3.1.3.3,0.0,1.0,3.0,5.0,
3.1.3.45 *,0.0,0.0,2.0,2.0,
3.1.3.5,0.0,2.0,16.0,12.0,
3.1.3.6,0.0,0.0,1.0,0.0,
3.1.3.66 *,0.0,0.0,1.0,0.0,
3.1.3.7 *,0.0,3.0,2.0,1.0,
3.1.3.8 *,0.0,1.0,0.0,1.0,
3.1.4.16,1.0,10.0,1.0,11.0,
3.1.4.17 *,0.0,1.0,0.0,1.0,
3.1.4.46 *,0.0,0.0,0.0,2.0,
3.1.4.53 *,0.0,0.0,0.0,1.0,
3.1.5.1 *,0.0,0.0,1.0,0.0,
3.1.6.1,0.0,1.0,10.0,6.0,
3.1.6.14 *,0.0,3.0,0.0,0.0,
3.11.1.1 *,0.0,0.0,0.0,2.0,
3.2.1.1 *,0.0,0.0,0.0,1.0,
3.2.1.113,1.0,0.0,0.0,0.0,
3.2.1.14 *,0.0,0.0,0.0,1.0,
3.2.1.15,0.0,0.0,1.0,0.0,
3.2.1.18,0.0,0.0,0.0,1.0,
3.2.1.21,1.0,2.0,1.0,2.0,
3.2.1.22,0.0,2.0,0.0,0.0,
3.2.1.23,0.0,0.0,0.0,2.0,
3.2.1.24 *,0.0,3.0,0.0,0.0,
3.2.1.25 *,0.0,0.0,1.0,1.0,
3.2.1.28 *,0.0,0.0,1.0,0.0,
3.2.1.33 *,1.0,0.0,0.0,0.0,
3.2.1.4 *,0.0,0.0,0.0,4.0,
3.2.1.45,0.0,0.0,0.0,5.0,
3.2.1.48 *,1.0,0.0,0.0,0.0,
3.2.1.49 *,0.0,0.0,1.0,3.0,
3.2.1.51 *,0.0,1.0,1.0,1.0,
3.2.1.52,1.0,1.0,0.0,4.0,
3.2.1.55 *,0.0,2.0,0.0,1.0,
3.2.1.58 *,1.0,0.0,0.0,1.0,
3.2.1.80 *,0.0,0.0,0.0,1.0,
3.2.1.91 *,2.0,4.0,0.0,0.0,
3.2.2.8,0.0,0.0,2.0,0.0,
3.2.2.9 *,0.0,0.0,1.0,5.0,
3.3.1.1 *,12.0,24.0,43.0,52.0,
3.3.2.10,0.0,0.0,2.0,2.0,
3.4.11.1 *,2.0,4.0,14.0,11.0,
3.4.11.2 *,1.0,0.0,0.0,0.0,
3.4.11.5 *,2.0,1.0,2.0,0.0,
3.4.16.4 *,1.0,1.0,4.0,14.0,
3.5.1.10,0.0,0.0,3.0,5.0,
3.5.1.11 *,0.0,0.0,1.0,0.0,
3.5.1.18 *,0.0,2.0,1.0,10.0,
3.5.1.19 *,0.0,1.0,2.0,2.0,
3.5.1.2,1.0,0.0,0.0,0.0,
3.5.1.23 *,0.0,0.0,2.0,1.0,
3.5.1.25,0.0,0.0,1.0,0.0,
3.5.1.4,1.0,5.0,11.0,12.0,
3.5.1.41 *,0.0,0.0,0.0,1.0,
3.5.1.47 *,0.0,3.0,1.0,3.0,
3.5.1.6,0.0,0.0,1.0,1.0,
3.5.1.9,0.0,0.0,0.0,1.0,
3.5.1.94 *,0.0,3.0,10.0,0.0,
3.5.2.17 *,0.0,0.0,0.0,1.0,
3.5.2.2,0.0,2.0,6.0,1.0,
3.5.2.3 *,0.0,1.0,0.0,5.0,
3.5.2.6,0.0,8.0,9.0,22.0,
3.5.2.7 *,1.0,4.0,1.0,1.0,
3.5.2.9 *,0.0,4.0,4.0,3.0,
3.5.3.1 *,0.0,0.0,0.0,1.0,
3.5.3.11 *,0.0,2.0,3.0,6.0,
3.5.3.23 *,0.0,0.0,0.0,1.0,
3.5.3.3,1.0,3.0,1.0,0.0,
3.5.3.4 *,0.0,1.0,0.0,0.0,
3.5.3.6 *,0.0,0.0,1.0,0.0,
3.5.4.10 *,0.0,1.0,4.0,18.0,
3.5.4.12 *,0.0,3.0,2.0,6.0,
3.5.4.13 *,2.0,2.0,4.0,2.0,
3.5.4.16 *,2.0,8.0,23.0,20.0,
3.5.4.19 *,0.0,4.0,4.0,15.0,
3.5.4.2 *,2.0,2.0,1.0,1.0,
3.5.4.25 *,0.0,5.0,10.0,7.0,
3.5.4.26 *,0.0,0.0,1.0,0.0,
3.5.4.4 *,0.0,3.0,0.0,2.0,
3.5.4.9,0.0,6.0,14.0,12.0,
3.5.5.1,0.0,0.0,0.0,1.0,
3.5.99.6 *,0.0,2.0,0.0,0.0,
3.6.1.1 *,37.0,71.0,80.0,260.0,
3.6.1.12 *,0.0,0.0,0.0,1.0,
3.6.1.13 *,1.0,0.0,1.0,4.0,
3.6.1.15,0.0,0.0,11.0,6.0,
3.6.1.17,0.0,1.0,1.0,4.0,
3.6.1.22 *,0.0,1.0,0.0,0.0,
3.6.1.23 *,0.0,3.0,0.0,4.0,
3.6.1.27 *,0.0,0.0,5.0,6.0,
3.6.1.29 *,0.0,0.0,2.0,2.0,
3.6.1.3 *,24.0,47.0,134.0,206.0,
3.6.1.31 *,1.0,1.0,3.0,7.0,
3.6.1.41 *,0.0,0.0,1.0,2.0,
3.6.1.7,0.0,1.0,0.0,1.0,
3.6.3.14,30.0,52.0,76.0,93.0,
3.7.1.2,0.0,0.0,1.0,2.0,
3.7.1.8 *,0.0,1.0,1.0,0.0,
3.8.1.5,1.0,3.0,1.0,2.0,
4.1.1.1 *,0.0,0.0,1.0,5.0,
4.1.1.11,0.0,0.0,23.0,19.0,
4.1.1.17,0.0,1.0,0.0,2.0,
4.1.1.19 *,0.0,0.0,2.0,0.0,
4.1.1.20 *,0.0,7.0,7.0,13.0,
4.1.1.21 *,1.0,3.0,3.0,17.0,
4.1.1.22 *,2.0,0.0,0.0,0.0,
4.1.1.23 *,0.0,0.0,2.0,18.0,
4.1.1.3,0.0,4.0,21.0,33.0,
4.1.1.32,0.0,0.0,1.0,11.0,
4.1.1.33 *,0.0,1.0,0.0,0.0,
4.1.1.35,0.0,0.0,9.0,9.0,
4.1.1.36 *,0.0,3.0,7.0,2.0,
4.1.1.37 *,4.0,2.0,22.0,29.0,
4.1.1.39,41.0,38.0,398.0,349.0,
4.1.1.4,0.0,8.0,0.0,1.0,
4.1.1.45 *,0.0,3.0,0.0,0.0,
4.1.1.48 *,0.0,2.0,7.0,31.0,
4.1.1.49,0.0,9.0,23.0,31.0,
4.1.1.5,0.0,0.0,0.0,1.0,
4.1.1.50,2.0,2.0,5.0,4.0,
4.1.1.61 *,0.0,2.0,5.0,10.0,
4.1.1.65 *,0.0,2.0,3.0,6.0,
4.1.1.8 *,0.0,1.0,0.0,1.0,
4.1.1.9,0.0,1.0,0.0,0.0,
4.1.2.10 *,0.0,0.0,0.0,1.0,
4.1.2.13,0.0,4.0,18.0,25.0,
4.1.2.14,0.0,1.0,0.0,0.0,
4.1.2.20 *,0.0,0.0,0.0,1.0,
4.1.2.25 *,0.0,0.0,2.0,1.0,
4.1.2.27 *,0.0,0.0,1.0,0.0,
4.1.2.4 *,0.0,4.0,6.0,1.0,
4.1.2.43,0.0,1.0,0.0,2.0,
4.1.2.5 *,1.0,2.0,2.0,3.0,
4.1.3.1 *,5.0,57.0,49.0,641.0,
4.1.3.16,0.0,2.0,0.0,0.0,
4.1.3.27 *,0.0,1.0,3.0,15.0,
4.1.3.30 *,0.0,0.0,0.0,2.0,
4.1.3.34 *,0.0,3.0,1.0,0.0,
4.1.3.36 *,0.0,1.0,0.0,3.0,
4.1.3.39,1.0,0.0,2.0,1.0,
4.1.3.4,0.0,0.0,2.0,0.0,
4.1.3.40 *,0.0,0.0,1.0,4.0,
4.1.99.12 *,0.0,2.0,10.0,15.0,
4.2.1.1 *,1.0,3.0,13.0,20.0,
4.2.1.10 *,0.0,1.0,6.0,8.0,
4.2.1.104 *,0.0,1.0,0.0,0.0,
4.2.1.107 *,0.0,0.0,1.0,2.0,
4.2.1.11,5.0,23.0,46.0,47.0,
4.2.1.113 *,0.0,2.0,0.0,0.0,
4.2.1.17,1.0,6.0,10.0,8.0,
4.2.1.19 *,0.0,10.0,5.0,42.0,
4.2.1.2,2.0,2.0,6.0,30.0,
4.2.1.20,6.0,7.0,35.0,58.0,
4.2.1.22,0.0,0.0,0.0,1.0,
4.2.1.24 *,1.0,2.0,7.0,7.0,
4.2.1.3,6.0,24.0,62.0,146.0,
4.2.1.33 *,2.0,8.0,19.0,24.0,
4.2.1.40 *,0.0,4.0,0.0,0.0,
4.2.1.44 *,1.0,0.0,0.0,0.0,
4.2.1.46,0.0,4.0,9.0,15.0,
4.2.1.47,1.0,2.0,6.0,8.0,
4.2.1.49 *,0.0,4.0,2.0,6.0,
4.2.1.51 *,3.0,0.0,4.0,12.0,
4.2.1.52 *,1.0,8.0,9.0,35.0,
4.2.1.6 *,0.0,4.0,0.0,4.0,
4.2.1.60 *,2.0,6.0,4.0,13.0,
4.2.1.75 *,0.0,0.0,8.0,7.0,
4.2.1.79 *,0.0,3.0,0.0,1.0,
4.2.1.8 *,0.0,0.0,1.0,1.0,
4.2.1.84,0.0,1.0,0.0,0.0,
4.2.1.9,2.0,6.0,16.0,28.0,
4.2.1.90 *,0.0,0.0,0.0,1.0,
4.2.3.1,0.0,10.0,5.0,22.0,
4.2.3.12 *,7.0,2.0,17.0,24.0,
