!ENTRY_AC	AC
IPR006271	00750+2.6.1.52
IPR011182	00760+1.4.1.21
IPR020626	00760+1.4.1.21
IPR005288	00760+1.4.3.16
IPR018016	00760+2.4.2.1
IPR006417	00760+2.7.7.1+2.7.1.22
IPR017438	00760+2.7.1.23
IPR006418	00760+2.7.7.1
IPR005248	00760+2.7.7.18
IPR006420	00760+3.1.3.5
IPR010394	00760+3.1.3.5
IPR004567	00770+2.7.1.33
IPR023540	00770+2.7.7.3
IPR007431	00770+3.1.4.14
IPR007085	00770+6.3.2.5
IPR011285	00780+1.1.1.100
IPR002684	00780+2.8.1.6
IPR004409	00780+6.3.4.15
IPR023741	00785+2.7.7.63
IPR012259	00790+1.5.1.3
IPR016856	00790+1.7.1.13
IPR028888	00790+2.8.1.12
IPR013483	00790+4.1.99.18
IPR018317	00790+6.3.4.20
IPR008221	00791+3.5.1.5
IPR028633	00830+1.1.1.1
IPR014183	00830+1.1.1.1
IPR002051	00860+1.14.99.3
IPR017789	00860+1.16.3.1
IPR015249	00860+1.3.1.24
IPR012409	00860+4.99.1.4+1.3.1.76+2.1.1.107
IPR004558	00860+1.3.99.22
IPR010245	00860+1.3.99.35
IPR010940	00860+2.1.1.11
IPR009194	00860+2.5.1.17
IPR029499	00860+2.5.1.17
IPR022419	00860+2.5.1.61
IPR017578	00860+3.1.3.73
IPR030656	00860+4.2.1.24
IPR011771	00860+6.6.1.1
IPR006538	00860+6.6.1.2
IPR013644	00900+1.1.1.267
IPR004554	00900+1.1.1.34
IPR009023	00900+1.1.1.34
IPR025770	00900+2.1.1.100
IPR020826	00900+2.2.1.7
IPR011179	00900+5.3.3.2
IPR011876	00900+5.3.3.2
IPR010788	00906+1.10.99.3
IPR018022	00908+2.5.1.75
IPR010458	00909+4.2.3.6
IPR004136	00910+1.13.12.16
IPR014281	00910+1.18.6.1
IPR004349	00910+1.18.6.1
IPR007780	00910+1.4.1.2
IPR001287	00910+1.7.2.1
IPR006547	00910+1.7.99.4
IPR018426	00910+4.2.1.1
IPR018441	00910+4.2.1.1
IPR008076	00910+4.2.1.104
IPR008147	00910+6.3.1.2
IPR023695	00920+2.8.1.1
IPR014769	00920+3.6.3.25
IPR006108	00930+4.2.1.17+1.1.1.35
IPR022740	00950+1.10.3.1
IPR000796	00960+2.6.1.1
IPR013375	00970+2.5.1.73
IPR025862	00970+2.9.1.1
IPR023458	00970+6.1.1.10
IPR014758	00970+6.1.1.10
IPR006194	00970+6.1.1.14
IPR020752	00970+6.1.1.17
IPR004530	00970+6.1.1.20
IPR004188	00970+6.1.1.20
IPR023585	00970+6.1.1.5
IPR018165	00970+6.1.1.7
IPR028632	00980+1.1.1.1
IPR008072	00980+1.14.14.1
IPR008071	00980+1.14.14.1
IPR003081	00980+2.5.1.18
IPR010497	00980+3.3.2.9
IPR012079	00982+1.1.1.1
IPR002253	00982+1.14.13.8
IPR002255	00982+1.14.13.8
IPR001447	00983+2.3.1.5
IPR023031	00983+2.4.2.10
IPR028546	00983+3.2.1.31
IPR013171	00983+3.5.4.5
IPR020922	00983+3.6.1.19
IPR023686	00983+6.3.5.2
IPR006411	00710+4.1.2.13
IPR004788	00710+5.3.1.6
IPR011860	00710+5.3.1.6
IPR012799	00720+4.2.1.17+1.1.1.35
IPR006108	00720+4.2.1.17+1.1.1.35
IPR023958	00720+1.1.1.37
IPR004790	00720+1.1.1.42
