! Conversion taken from: http://www.geneontology.org/
PF00005;3.6.1.3
PF00343;2.4.1.1
PF00346;1.6
PF00349;2.7.1
PF00351;1.14.16
PF00355;1
PF00361;1.6.5.3
PF00365;2.7.1.11
PF00367;2.7.1.69
PF00368;R02082
PF00368;1.1.1.34
PF00370;2.7.1
PF00374;1.12.7.2
PF00383;3
PF00384;1
PF00387;R03435
PF00387;3.1.4.11
PF00389;1.1.1
PF00390;1.1.1
PF00391;2.7
PF00393;1.1.1.44
PF00394;1
PF00404;3.2.1
PF00408;5.4.2
PF00413;3.4.24
PF00420;1.6
PF00423;3.2.1.18
PF00433;2.7.11
PF00438;2.5.1.6
PF00441;1.3
PF00443;3.1.2.15
PF00445;3.1.27.1
PF00449;3.5.1.5
PF00450;3.4.16
PF00454;2.7.1
PF00457;3.2.1
PF00464;2.1.2.1
PF00465;1
PF00475;R03457
PF00475;4.2.1.19
PF00476;2.7.7.7
PF00483;2.7.7
PF00484;4.2.1.1
PF00487;1
PF00490;R00036
PF00490;4.2.1.24
PF00491;3.5.3
PF00494;2
PF00499;1.6.5.3
PF00507;1.6.5.3
PF00510;1.9.3.1
PF00521;5.99.1.3
PF00524;3.6
PF00547;3.5.1.5
PF00548;3.4.22
PF00551;2.1.2
PF00553;3.2.1
PF00562;2.7.7.6
PF00565;3.1
PF00574;3.4.21
PF00578;1
PF00585;4.3.1.19
PF00590;2.1.1
PF00591;2.4
PF00602;2.7.7.48
PF00603;2.7.7.48
PF00604;2.7.7.48
PF00609;2.7.1.107
PF00623;2.7.7.6
PF00632;6.3.2
PF00636;3.1.26.3
PF00639;5
PF00644;2.4.2.30
PF00656;3.4.22
PF00657;3.1
PF00662;1.6.5.3
PF00667;1
PF00670;3.3.1.1
PF00675;3.4.24
PF00676;1.2.4
PF00677;R00066
PF00677;2.5.1.9
PF00680;2.7.7.48
PF00685;2.8.2
PF00692;3
PF00693;2.7.1.21
PF00697;R03509
PF00697;5.3.1.24
PF00699;3.5.1.5
PF00701;4
PF00703;3.2.1
PF00704;3.2.1
PF00709;R01135
PF00709;6.3.4.4
PF00712;2.7.7.7
PF00716;3.4.21
PF00719;R00004
PF00719;3.6.1.1
