R00931	00640
R00932	00660
R00934	00630 00660 00720 01120
R00935	00280 00640 01100
R00936	00670 00790 01100
R00937	00670 00790 01100
R00939	00670 00790 01100
R00940	00670 00790 01100
R00941	00670
R00942	00790
R00943	00670 00720 01100 01120
R00944	00630 00670
R00945	00260 00460 00670 00680 01100 01110 01120
R00946	00270 00670 01100 01110
R00947	00010 01120
R00948	00500 00520 01100
R00949	00500
R00951	00500
R00952	00500
R00954	00500 00520 01100
R00955	00052 00520 01100
R00956	00500 00520 01100
R00959	00010 00052 00500 00520 01100 01110 01120
R00960	00010 00500 01120
R00961	00230
R00962	00240 01100
R00963	00240
R00964	00240 01100
R00965	00240 01100
R00966	00240 01100
R00967	00240 01100
R00968	00240 01100
R00969	00240
R00970	00240 01100
R00974	00240 01100
R00976	00240
R00977	00240 00410 00770 01100
R00978	00240 00410 00770 01100
R00980	00627 00910 01120
R00982	00627 01120
R00983	00380
R00984	01058 01110
R00985	00400 01100 01110
R00986	00400 01100 01110
R00987	00380 01100
R00988	00380
R00991	00380
R00993	00640 00660
R00994	00290 00660
R00995	00660
R00996	00260 00290 01100 01110
R00997	00640
R00998	00620
R00999	00270 01100
R01000	00640
R01001	00260 00270 00910 01100
R01003	00510 01100
R01004	00510
R01005	00510 01100
R01006	00510 01100
R01009	00510 01100
R01011	00561 00680 01100 01120
R01013	00564
R01015	00010 00051 00562 00710 01100 01110 01120
R01016	00620
R01018	00510 01100
R01019	00620
R01021	00564 01100
R01022	00260
R01023	00564
R01025	00260
R01026	00564
R01027	00920 01120
R01030	00564
R01033	00364 01120
R01034	00561 01100
R01036	00561
R01039	00561 01100
R01041	00561
R01047	00561
R01048	00561
R01049	00030 00230 01100 01110 01120
R01051	00030
R01053	00230
R01054	00230
R01055	00240
R01056	00030 00710 01100 01110 01120
R01057	00030 00230
R01058	00010 01100 01120
R01059	00051
R01061	00010 00710 01100 01110 01120
R01063	00010 00710 01100 01110 01120
R01064	00052
R01066	00030
R01067	00710 01100 01120
R01068	00680 00710 01100 01120
R01069	00052
R01070	00010 00030 00051 01100 01110 01120
R01071	00340 01100 01110
R01072	00230 00250 01100 01110
R01073	00400 01100 01110
R01074	00780 01100
R01077	00780 01100
R01078	00780 01100
R01080	00240
R01082	00020 00720 01100 01110 01120
R01083	00230 00250 01100
R01085	00350 01100 01120
R01086	00250 00330 01100 01110
R01087	00650 00760 01120
R01088	00280 00290 01100 01110
R01090	00280 00290 00966 01100 01110
R01091	00280
R01092	00052 00520 01100
R01093	00052
R01094	00052
R01095	00052
R01097	00052
R01098	00052
R01101	00052
R01103	00052
R01104	00052
R01105	00052
R01106	00910 01120
R01108	00053 00480 01100
R01109	00480
R01110	00480
R01111	00480
R01113	00270
R01115	00520
R01117	00520 01100
R01121	00900 01100 01110
R01122	00908 01100 01110
R01123	00900 01100 01110
R01126	00230 01100
R01127	00230 01100 01110
R01128	00230 01100
R01130	00230 01100 01110
R01131	00230
R01132	00230 01100
R01134	00230
R01135	00230 00250 01100
R01137	00230 01100
R01138	00230 01100
R01142	00680 01100 01120
R01146	00680 01100 01120
R01147	00750
R01148	00473 01100
R01150	00473 00550 01100
R01151	00330
R01152	00330 01100
R01153	00960 01100 01110
R01154	00330 01100
R01155	00330
R01156	00330 01100
R01157	00330 01100
R01158	01100
R01159	00340
R01161	00340
R01163	00340 01110
R01164	00340 00410
R01166	00340 00410 01100
R01167	00340 01100 01110
R01168	00340 00910 01100
R01169	00340
R01171	00650 01100
R01172	00650
R01173	00650
R01174	00650 01100
R01175	00071 01100
R01176	00650 01100
R01177	00062 00071 01100
R01179	00650 01100
R01180	00630
R01182	00562
R01183	00521 00562 01100 01110
R01184	00053 00562
R01185	00562
R01186	00562 01100
R01187	00521 00562 01100 01110
R01188	00562
R01189	00562
R01192	00052
R01194	00052
R01196	00010 00020 00620 00650 00680 00720 01100 01120
R01197	00020 00720 01100 01120
R01199	00640
R01200	00520
R01201	00520
R01204	00520
R01206	00520
R01207	00520
R01209	00770
R01211	00770
R01213	00290 00620 01100 01110
R01214	00280 00290 00770 00966 01100 01110
R01215	00290 01100 01110
R01217	00670 01100
R01218	00670 01100
R01220	00670 00720 01100 01120
R01221	00910
R01224	00670 00680 01100 01120
R01225	00670 01100
R01226	00770 01100 01110
R01227	00230 01100
R01228	00230
R01229	00230 01100
R01230	00230 01100
R01231	00230 01100
R01232	00230
R01233	00500
R01234	00230
R01238	00627 01120
R01242	00920 01120
R01244	00230 01100
R01245	00230 01100
R01246	00330
R01248	00330 01100 01110
R01249	00330
R01251	00330 01100 01110
R01252	00330 01100
R01253	00330 01100 01110
R01255	00330 01100
R01256	00630 00680 01120
R01257	00620
R01260	00460 01100 01110
R01262	00480
R01267	00460 01100
R01268	00760 01100
R01269	00760 01100
R01270	00760
R01271	00760
R01273	00760
R01274	00062 01040 01100
R01278	00062 01100
R01279	00071 01100
R01280	00071 01100
R01281	00600 01100
R01283	00910 00920
R01285	00910 00920
R01286	00270 01100 01110
R01287	00270 01100
R01288	00270 01100
R01290	00260 00270 01100
R01291	00270
R01292	00270
R01293	00623 00627 01100 01120
R01294	00623 00627 01120
R01295	00362 00627 01100 01120
R01296	00362 01100 01120
R01297	00362 01120
R01298	00362 01100 01120
R01299	00362 01120
R01300	00362 00627 01100 01120
R01301	00130 00362 01100 01110 01120
R01302	00130 01100 01110
R01304	00130
R01305	00363 01120
R01306	00362
R01308	00360
R01310	00564 01100
R01312	00564
R01315	00564
R01316	00564
R01317	00590 01100
R01318	00564
R01319	00564
R01320	00564 01100
R01321	00564 01100
R01324	01100
R01325	00020 00630 00720 01100 01110 01120
R01326	00051 00520 01100
R01329	00052
R01332	00051
R01333	00630 01120
R01334	00630 01100
R01335	00053
R01339	00910 01120
R01342	00910
R01344	00473
R01346	00250
R01347	00071
R01348	00071
R01350	00561
R01351	00561 01100
R01353	00640
R01354	00640 01100
R01355	00760
R01357	00650
R01358	00650
R01359	00640
R01360	00072 00280 00650 01100
R01361	00072 00650 01100
R01364	00350 00643 01100 01120
R01366	00072 00640 01100
R01367	00650
R01370	00360 00960
R01371	00360 00960
R01372	00360 01100
R01373	00400 01100 01110
R01374	00360
R01377	00360 01100
R01378	00360
R01381	00040 00053 00520 01100
R01383	00040 00500 01100
R01384	00500 00520 01100
R01385	00500 00520 01100
R01386	00520
R01387	00520 01100
R01388	00260 00630 00680 01100 01120
R01390	00630
R01392	00260 00630 01100
R01393	00630
R01394	00630 01100
R01395	00910
R01397	00240 00250 01100
R01398	00330 01100 01110
R01400	00910
R01401	00270 01100
R01402	00270 01100
R01406	00071
R01408	00460
R01409	00460 01100
R01410	00460
R01411	00240
R01413	00240
R01414	00240 01100
R01415	00240 01100
R01416	00330 01100
R01419	00623 00627 01120
R01420	00623 00627 01120
R01421	00627 01120
R01422	00362 00627 01100 01120
R01423	00230
R01424	00360
R01426	00360 01100 01110
R01427	00362 01120
R01429	00040
R01430	00040
R01431	00040 01100
R01432	00040 01100
R01433	00500 00520 01100
R01434	00290 01100 01110
R01438	00640
R01440	00680 01120
R01444	00500
R01446	00620
R01447	00620 01100
R01449	00640 01100
R01450	00620
R01451	00100 01100
R01454	00140 01100
R01456	00100 01100
R01457	00100 01100
R01459	00100
R01461	00100
R01462	00100
R01463	00120 01100
R01465	00260
R01466	00260 01100 01120
R01468	00564 01100
R01470	00564
R01471	00520
R01473	00520 01100
R01476	00040 00053 00520 01100
R01478	00040 00500 01100
R01481	00040 00053 01100
R01482	00040 01100
R01483	00053 01100
R01492	00860
R01494	00600 01100
R01495	00600
R01496	00600
R01497	00600 01100
R01498	00600 01100
R01500	00600 01100
R01503	00600
R01505	01053 01110
R01507	00362 01120
R01508	00362 01120
R01511	00260
R01512	00010 00710 01100 01110 01120
R01513	00260 00680 01100 01120
R01514	00260 00561 00630 01100
R01516	00010
R01518	00010 00680 01100 01110 01120
R01519	00030 01100 01110 01120
R01520	00030 01120
R01521	00030 01120
R01522	00030 01100 01120
R01523	00710 01100 01120
R01524	00040
R01525	00040
R01526	00040 01100
R01528	00030 00480 01100 01110 01120
R01529	00030 00040 00710 01100 01110 01120
R01538	00030 01100 01120
R01540	00040 01100
R01541	00030 00040 01100 01120
R01542	00040
R01544	00030
R01547	00230 01100
R01548	00240 01100
R01549	00240 01100
R01550	00640
R01553	00460
R01555	00500 01100
R01557	00500
R01558	00630 01100
R01559	00630 01100
R01560	00230 01100
R01561	00230 01100
R01562	00230
R01563	00330 01100
R01565	00260 01100
R01566	00260 00330 01100
R01567	00240 01100
R01569	00240
R01570	00240 01100
R01579	00471 01100
R01580	00750
R01582	00360
R01583	00471
R01586	00680 01120
R01588	00680 01120
R01590	00590 01100
R01593	00590 01100
R01594	00590
R01595	00590 01100
R01596	00590 01100
R01600	00010 01110 01120
R01602	00010 01110 01120
R01604	00410
R01607	00410
R01608	00410 00640 01100
R01611	00410 00640
R01613	00941 01100 01110
R01614	00945 01110
R01615	00940 01100 01110
R01616	00130 00360 00940 01100 01110
R01617	00330
R01618	00230
R01620	00310
R01621	00030 00680 00710 01100
R01623	00770
R01624	00061 01100
R01625	00770
R01626	00061 01100
R01627	00400 01110
R01628	00362 00624 01120
R01629	00362 01100 01120
R01630	00362 01100 01120
R01631	00362 00624 01100 01120
R01632	00362 00624 01120
R01633	00624 01120
R01634	00624 01120
R01635	00624 01100 01120
R01636	00623 01120
R01637	00627
R01639	00040 01100
R01641	00030 00710 01100 01110 01120
R01644	00650
R01647	00350 01120
R01648	00250 00650 01100
R01649	00750
R01652	00290 01100 01110
R01655	00670 00720 01100 01120
R01658	00900 01100 01110
R01660	00500
R01662	00010
R01663	00240 01100
R01664	00240
R01665	00240 01100
R01666	00240
R01667	00240
R01668	00240
R01669	00240 00670
R01676	00230 01100
R01677	00230
R01678	00052 01100
R01681	00430 01100
R01682	00430 01100
R01685	00430 00910
R01686	00430
R01687	00430
R01688	00650 01100
R01690	00230
R01700	01100 01110
R01701	01100
R01702	01100
R01704	00071
R01706	00061 01100
R01707	00750
R01708	00750 01100
R01709	00750 01100
R01710	00750 01100
R01711	00750 01100
R01712	00750
R01713	00750
R01714	00400 01100 01110
R01715	00400 01100 01110
R01716	00790
R01717	00130 01053 01100 01110
R01718	00500
R01720	00760
R01721	00760
R01724	00760 01100
R01728	00400 00401 01100 01110
R01730	00400 01100 01110
R01731	00400 01100
R01732	00740
R01735	00620
R01736	00620
R01737	00030 01100 01110 01120
R01739	00030 01100 01120
R01741	00030 01100 01120
R01745	00630 01100
R01747	00630 01100
R01749	00630
R01750	00630
R01752	00561
R01754	00520 01100
R01757	00053 01100
R01758	00040 01100
R01759	00040 01100
R01761	00040 01100
R01762	00520
R01763	00623 01120
R01764	00627 01120
R01767	00460
R01768	00230 01100
R01769	00230 01100
R01770	00230
R01771	00260 01100 01120
R01773	00260 00270 00300 01100 01110 01120
R01775	00260 00270 00300 01100 01110 01120
R01776	00270 00920 01100
R01777	00270 00920 01100 01110
R01781	00630 01120
R01782	00040
R01784	00053
R01785	00040
R01786	00010 00052 00500 00520 01100 01110 01120
R01787	00051 01100
R01788	00010 00052 00500 01100
R01790	00500 01100
R01791	00500 01100
R01793	00790 01100
R01794	00790 01100
R01795	00360 00400 01100
R01797	00564
R01799	00564 01100
R01800	00260 00564 01100
R01801	00564 01100
R01802	00562 00564 01100
R01803	00520
R01804	00520
R01805	00520 01100
R01811	00520
R01813	00790 01100
R01814	00380 01100
R01815	00350 01100
R01816	00380
R01818	00051 00520 01100 01110
R01819	00051 00520 01100 01110
R01823	00500
R01825	00750 01100
R01826	00400 01100 01110
R01827	00030 01100 01110 01120
R01829	00710 01100 01120
R01830	00030 01100 01110 01120
R01833	00140
R01834	00140
R01835	00140
R01836	00140 01100
R01837	00140 01100
R01838	00140 01100
R01840	00140 01100
R01841	00140
R01842	00140
R01844	00710
R01845	00710 01100 01120
R01855	00230
R01856	00230
R01857	00230 01100
R01858	00230 01100
R01859	00280 00630 00640 00720 01100 01120
R01861	00920 01120
R01863	00230 01100
R01867	00240 01100
R01868	00240 01100
R01869	00240 01100
R01870	00240 01100
R01872	00400
R01873	00400
R01874	00270
R01875	00480
R01876	00240 01100
R01877	00240
R01878	00240 01100
R01880	00240 01100
R01881	00330 01100
R01883	00260 00330 01100
R01884	00330
R01885	00230
R01887	00460
R01890	00564 01100
R01891	00600 01100
R01892	00040
R01895	00040 01100
R01896	00040 01100
R01898	00040
R01899	00020 01100 01110 01120
R01900	00020 00630 00720 01100 01110 01120
R01901	00040
R01902	00040
R01903	00040 01100
R01904	00040 01100
R01905	00040 01100
R01906	00040
R01908	00630 01100
R01909	00750 01100
R01910	00750
R01911	00750 01100
R01913	00750
R01914	00410
R01915	00330
R01917	00480 01100
R01918	00480 01100
R01920	00270 00330 00480 01100
R01923	00071
R01926	00600 01100
R01928	00600
R01929	00600
R01930	00920
R01933	00380
R01936	00300 01100
R01937	00380 01100
R01938	00380 01100
R01939	00300 00310 01100
R01940	00310 01100
R01941	00940 01110
R01942	00360 00940 00941 00945 01100 01110
R01943	00940 01100 01110
R01945	00940 00941 00945 01110
R01951	00051 00520 01100
R01954	00250 00330 01100 01110
R01956	00380 01100
R01959	00380 00630 01100
R01960	00380 01100
R01961	00520
R01966	00520
